customer_id,gross_revenue,recency_days,qty_invoices,qty_items,qty_products,avg_ticket,frequency,qty_returns,returns_ratio,avg_basket_size,avg_unique_basket_size,period_of_buy_day,period_of_buy_quarter,country
17850,5391.21,372.0,34.0,1733.0,297.0,18.15222222222222,17.0,40.0,0.02308136180034622,50.970588235294116,0.6176470588235294,after_20,4,United Kingdom
13047,3232.59,56.0,9.0,1390.0,171.0,18.9040350877193,0.02830188679245283,35.0,0.025179856115107913,154.44444444444446,11.666666666666666,after_20,4,United Kingdom
12583,6705.38,2.0,15.0,5028.0,232.0,28.9025,0.04032258064516129,50.0,0.00994431185361973,335.2,7.6,before_11,4,France
13748,948.25,95.0,5.0,439.0,28.0,33.86607142857143,0.017921146953405017,0.0,0.0,87.8,4.8,before_11,3,United Kingdom
15100,876.0,333.0,3.0,80.0,3.0,292.0,0.07317073170731707,22.0,0.275,26.666666666666668,0.3333333333333333,before_11,4,United Kingdom
15291,4623.3,25.0,14.0,2102.0,102.0,45.326470588235296,0.04011461318051576,29.0,0.01379638439581351,150.14285714285714,4.357142857142857,before_11,4,United Kingdom
14688,5630.87,7.0,21.0,3621.0,327.0,17.219785932721713,0.05722070844686648,399.0,0.11019055509527755,172.42857142857142,7.0476190476190474,after_20,1,United Kingdom
17809,5411.91,16.0,12.0,2057.0,61.0,88.71983606557377,0.0335195530726257,41.0,0.019931939718035974,171.41666666666666,3.8333333333333335,before_11,4,United Kingdom
15311,60767.9,0.0,91.0,38194.0,2379.0,25.543463640184953,0.24331550802139038,474.0,0.012410326229250668,419.7142857142857,6.230769230769231,before_11,4,United Kingdom
16098,2005.63,87.0,7.0,613.0,67.0,29.934776119402986,0.024390243902439025,0.0,0.0,87.57142857142857,4.857142857142857,before_11,3,United Kingdom
18074,489.6,373.0,1.0,190.0,13.0,37.66153846153846,1.0,0.0,0.0,190.0,13.0,after_20,4,United Kingdom
17420,598.83,50.0,3.0,265.0,30.0,19.961000000000002,0.009259259259259259,0.0,0.0,88.33333333333333,9.333333333333334,between_11_20,4,United Kingdom
16029,72882.09,38.0,62.0,40207.0,241.0,302.4153112033195,0.18452380952380953,8004.0,0.1990698137140299,648.5,0.6935483870967742,before_11,3,United Kingdom
16250,389.44,261.0,2.0,208.0,24.0,16.226666666666667,0.017699115044247787,0.0,0.0,104.0,11.0,after_20,4,United Kingdom
12431,6382.45,35.0,15.0,2899.0,233.0,27.392489270386264,0.04424778761061947,50.0,0.017247326664367024,193.26666666666668,10.8,after_20,4,Australia
